id,code,first_name,second_name,web_name,photo,element_type,season
160,592031,Yankuba,Minteh,Minteh,https://resources.premierleague.com/premierleague25/photos/players/110x140/592031.png,3,2526
161,474120,Julio,Enciso Espínola,Enciso,https://resources.premierleague.com/premierleague25/photos/players/110x140/474120.png,3,2526
162,513433,Brajan,Gruda,Gruda,https://resources.premierleague.com/premierleague25/photos/players/110x140/513433.png,3,2526
163,532529,Jack,Hinshelwood,Hinshelwood,https://resources.premierleague.com/premierleague25/photos/players/110x140/532529.png,3,2526
164,219249,Matt,O'Riley,O'Riley,https://resources.premierleague.com/premierleague25/photos/players/110x140/219249.png,3,2526
165,516211,Abdallah,Sima,Sima,https://resources.premierleague.com/premierleague25/photos/players/110x140/516211.png,3,2526
166,509416,Yasin,Ayari,Ayari,https://resources.premierleague.com/premierleague25/photos/players/110x140/509416.png,3,2526
167,535301,Carlos,Baleba,Baleba,https://resources.premierleague.com/premierleague25/photos/players/110x140/535301.png,3,2526
169,514254,Diego,Gómez Amarilla,Gomez,https://resources.premierleague.com/premierleague25/photos/players/110x140/514254.png,3,2526
170,15157,James,Milner,Milner,https://resources.premierleague.com/premierleague25/photos/players/110x140/15157.png,3,2526
171,441192,Jeremy,Sarmiento Morante,Sarmiento,https://resources.premierleague.com/premierleague25/photos/players/110x140/441192.png,3,2526
172,549074,Tom,Watson,Watson,https://resources.premierleague.com/premierleague25/photos/players/110x140/549074.png,3,2526
173,467779,Mats,Wieffer,Wieffer,https://resources.premierleague.com/premierleague25/photos/players/110x140/467779.png,3,2526
174,611695,Malick,Yalcouyé,Yalcouye,https://resources.premierleague.com/premierleague25/photos/players/110x140/611695.png,3,2526
175,567121,Joe,Knight,Knight,https://resources.premierleague.com/premierleague25/photos/players/110x140/567121.png,3,2526
176,550141,Adrian,Mazilu,Mazilu,https://resources.premierleague.com/premierleague25/photos/players/110x140/550141.png,3,2526
177,513834,Andrew,Moran,Moran,https://resources.premierleague.com/premierleague25/photos/players/110x140/513834.png,3,2526
178,50175,Danny,Welbeck,Welbeck,https://resources.premierleague.com/premierleague25/photos/players/110x140/50175.png,4,2526
179,487117,Evan,Ferguson,Ferguson,https://resources.premierleague.com/premierleague25/photos/players/110x140/487117.png,4,2526
180,608181,Stefanos,Tzimas,Tzimas,https://resources.premierleague.com/premierleague25/photos/players/110x140/608181.png,4,2526
181,647850,Charalampos,Kostoulas,Kostoulas,https://resources.premierleague.com/premierleague25/photos/players/110x140/647850.png,4,2526
744,556637,Nehemiah,Oriola,Oriola,https://resources.premierleague.com/premierleague25/photos/players/110x140/556637.png,3,2526
761,604988,Freddie,Simmonds,Simmonds,https://resources.premierleague.com/premierleague25/photos/players/110x140/604988.png,2,2526
783,60307,Pascal,Groß,Groß,https://resources.premierleague.com/premierleague25/photos/players/110x140/60307.png,3,2526
795,597320,Harry,Howell,Howell,https://resources.premierleague.com/premierleague25/photos/players/110x140/597320.png,3,2526
220,215059,Robert,Lynch Sánchez,Sánchez,https://resources.premierleague.com/premierleague25/photos/players/110x140/215059.png,1,2526
221,508479,Filip,Jörgensen,Jörgensen,https://resources.premierleague.com/premierleague25/photos/players/110x140/508479.png,1,2526
222,549939,Mike,Penders,Penders,https://resources.premierleague.com/premierleague25/photos/players/110x140/549939.png,1,2526
223,471798,Gabriel,Słonina,Slonina,https://resources.premierleague.com/premierleague25/photos/players/110x140/471798.png,1,2526
224,179268,Marc,Cucurella Saseta,Cucurella,https://resources.premierleague.com/premierleague25/photos/players/110x140/179268.png,2,2526
225,225796,Reece,James,James,https://resources.premierleague.com/premierleague25/photos/players/110x140/225796.png,2,2526
226,180736,Trevoh,Chalobah,Chalobah,https://resources.premierleague.com/premierleague25/photos/players/110x140/180736.png,2,2526
